stop_lat,zone_id,stop_lon,stop_url,stop_id,stop_desc,stop_name,location_type
39.782598,,-104.869157,,33017,Vehicles Travelling West,47th Ave & Galena St,0
39.725652,,-104.929761,,11542,Vehicles Travelling West,6th Ave & Elm St,0
39.725537,,-104.976041,,11543,Vehicles Travelling East,6th Ave & Emerson St,0
39.725657,,-104.933242,,11540,Vehicles Travelling West,6th Ave & Dexter St,0
39.725279,,-104.929176,,11541,Vehicles Travelling East,6th Ave & Elm St,0
39.725522,,-104.96774,,11546,Vehicles Travelling East,6th Ave & Franklin St,0
39.725466,,-104.869972,,11547,Vehicles Travelling East,6th Ave & Fulton St,0
39.725467,,-104.872088,,11544,Vehicles Travelling East,6th Ave & Empire St,0
39.725647,,-104.872705,,11545,Vehicles Travelling West,6th Ave & Empire St,0
39.725646,,-104.870947,,11548,Vehicles Travelling West,6th Ave & Fulton St,0
39.725282,,-104.925809,,11549,Vehicles Travelling East,6th Ave & Glencoe St,0
39.536213,,-104.836563,,33010,Vehicles Travelling East,Lincoln Ave & S Peoria St,0
40.037148,,-105.258301,,19395,Vehicles Travelling North,28th St & Hwy 119 Farside,0
40.054814,,-105.177427,,19393,Vehicles Travelling West,Heatherwood Dr & Ashfield Ct,0
40.056888,,-105.171305,,19392,Vehicles Travelling Southwest,4700 Block Heatherwood Dr,0
39.978846,,-105.24943,,19390,Vehicles Travelling Northwest,Gillaspie Dr & Darley Ave,0
39.740198,,-104.808146,,22260,Vehicles Travelling West,Colfax Ave & Helena St,0
39.711363,,-105.040198,,22264,Vehicles Travelling West,W Alameda Ave & S Perry St,0
39.656016,,-104.98775,,22268,Vehicles Travelling South,S Broadway & W Floyd Ave,0
39.543953,,-104.917725,,25062,Vehicles Travelling East,S University Blvd & Crossland Way,0
39.544393,,-104.918528,,25060,Vehicles Travelling West,S University Blvd & Crossland Way,0
39.943201,,-105.158564,,25067,Vehicles Travelling East,Rock Creek Pkwy & Pitkin Ave,0
39.502743,,-105.322805,,25064,Vehicles Travelling West,Mountain View PnR,0
39.939493,,-105.155127,,25068,Vehicles Travelling East,Rock Creek Pkwy & Indiana St,0
39.937656,,-105.147988,,25069,Vehicles Travelling East,Rock Creek Pkwy & S 88th St,0
39.580816,,-105.047304,,25280,Vehicles Travelling West,W Mineral Ave & S Utica Dr,0
39.780509,,-104.749367,,25281,Vehicles Travelling South,Jebel St & Green Valley Ranch Blvd,0
40.121142,,-105.151456,,19973,Vehicles Travelling Northeast,Hwy 119 & Airport Rd,0
40.010647,,-105.102748,,19971,Vehicles Travelling North,Hwy 287 & Lucerne Dr,0
39.81844,,-104.912752,,15488,Vehicles Travelling North,Monaco St & 67th Ave,0
39.80479,,-105.106662,,16257,Vehicles Travelling Southeast,Ralston Rd & W 59th Pl,0
39.795971,,-104.936628,,19976,Vehicles Travelling Northeast,Vasquez Blvd & 56th Ave,0
39.802487,,-105.104694,,16255,Vehicles Travelling North,Ralston Rd & Independence St,0
39.667433,,-105.04182,,16254,Vehicles Travelling South,S Raleigh St & W Yale Ave,0
39.806849,,-105.108763,,16259,Vehicles Travelling Southeast,Ralston Rd & Allendale Dr,0
39.804985,,-105.106515,,16258,Vehicles Travelling Northwest,Ralston Rd & W 59th Ave,0
39.653478,,-104.898602,,16700,Vehicles Travelling North,S Tamarac Dr & Hampden Ave,0
39.653274,,-104.961298,,22481,Vehicles Travelling West,Hampden Ave & S University Blvd,0
39.65314,,-104.941865,,22480,Vehicles Travelling West,Hampden Ave & S Colorado Blvd,0
39.710914,,-105.103671,,12015,Vehicles Travelling East,W Alameda Ave & S Hoyt St,0
39.71107,,-104.969395,,12017,Vehicles Travelling East,Alameda Ave & S Humboldt St,0
39.711086,,-105.104126,,12016,Vehicles Travelling West,W Alameda Ave & S Hoyt St,0
39.711153,,-104.921906,,12011,Vehicles Travelling East,Alameda Ave & S Holly St,0
39.711243,,-105.029121,,12013,Vehicles Travelling West,W Alameda Ave & S Hooker St,0
39.711387,,-104.922643,,12012,Vehicles Travelling West,Alameda Ave & S Holly St,0
39.931554,,-105.032171,,17258,Vehicles Travelling East,Westlake Dr & S Princess Cir,0
39.93145,,-105.032697,,17259,Vehicles Travelling Southwest,Westlake Dr & S Princess Cir,0
39.65558,,-104.764761,,26397,Vehicles Travelling North,S Ceylon Way & Floyd Ave,0
39.65287,,-104.771789,,26396,Vehicles Travelling East,Hampden Ave & S Tower Rd,0
39.677648,,-104.769689,,26391,Vehicles Travelling Northeast,Iliff Ave & S Argonne St,0
39.677569,,-104.770642,,26390,Vehicles Travelling West,Iliff Ave & S Argonne St,0
39.652937,,-104.79067,,26393,Vehicles Travelling East,Hampden Ave & S Buckley Rd,0
39.679307,,-104.767854,,26392,Vehicles Travelling East,Iliff Ave & Wesley Dr,0
39.934823,,-105.023978,,17250,Vehicles Travelling Southwest,Westlake Dr & W 132nd Cir,0
39.933234,,-105.025133,,17254,Vehicles Travelling Northeast,Westlake Dr & Grove Way,0
39.93216,,-105.028072,,17255,Vehicles Travelling East,Westlake Dr & Hazel Ct,0
39.932279,,-105.028199,,17256,Vehicles Travelling West,Westlake Dr & King Cir,0
39.93112,,-105.033883,,17257,Vehicles Travelling East,Westlake Dr & Lowell Blvd,0
39.756905,,-104.953122,,10709,Vehicles Travelling East,28th Ave & Fillmore St,0
39.757028,,-104.953907,,10708,Vehicles Travelling West,28th Ave & Fillmore St,0
39.755433,,-105.141737,,10702,Vehicles Travelling East,W 27th Ave & Youngfield St,0
39.679881,,-104.938629,,26121,Vehicles Travelling East,Colorado Station Gate A,0
39.757033,,-104.95762,,10706,Vehicles Travelling West,28th Ave & Columbine St,0
39.756913,,-104.956879,,10705,Vehicles Travelling East,28th Ave & Columbine St,0
39.668094,,-104.847098,,15954,Vehicles Travelling North,S Peoria St & Yale Ave,0
39.678143,,-104.992653,,24882,Vehicles Travelling North,Evans Station,0
39.5389,,-105.036253,,24881,Vehicles Travelling West,S Santa Fe Dr & Highlands Ranch Pkwy,0
39.538067,,-105.035335,,24880,Vehicles Travelling East,Highlands Ranch Pkwy & S Santa Fe Dr,0
39.580704,,-105.137219,,24886,Vehicles Travelling North,Ken Caryl PnR Gate A,0
39.642183,,-105.02477,,24889,Vehicles Travelling South,W Oxford Ave & S Federal Blvd,0
39.643408,,-105.004413,,24888,Vehicles Travelling South,Oxford - City of Sheridan Station,0
39.763702,,-104.774848,,26020,Vehicles Travelling East,Wal-Mart @ Salida St & Tower Rd,0
39.514841,,-104.792191,,26128,Vehicles Travelling East,Mainstreet & Jordan Rd,0
39.515445,,-104.793248,,26129,Vehicles Travelling North,S Jordan Rd & Mainstreet,0
39.711159,,-104.913248,,22875,Vehicles Travelling East,Alameda Ave & S Monaco Pkwy,0
39.971971,,-105.241884,,22876,Vehicles Travelling Southwest,Greenbriar Blvd & Greenbriar Ct,0
39.764405,,-104.941204,,22877,Vehicles Travelling East,Bruce Randolph Ave & Colorado Blvd,0
39.820327,,-105.221534,,22872,Vehicles Travelling North,Hwy 93 & W 68th Ave,0
39.819924,,-105.221795,,22873,Vehicles Travelling South,Hwy 93 & W 68th Ave,0
39.780897,,-104.814825,,24083,Vehicles Travelling Southeast,Bolling Dr & Eureka St,0
39.781717,,-104.818753,,24082,Vehicles Travelling Southeast,Bolling Dr & Eagle St,0
39.783058,,-104.822015,,24081,Vehicles Travelling Southeast,Bolling Dr & Dillon St,0
39.762086,,-105.108805,,10894,Vehicles Travelling West,W 32nd Ave & Kipling St,0
39.764514,,-104.940215,,22878,Vehicles Travelling West,Bruce Randolph Ave & Colorado Blvd,0
39.779942,,-104.950431,,22879,Vehicles Travelling East,46th Ave & Steele St,0
39.787251,,-104.919842,,14624,Vehicles Travelling North,Ivy St & 50th Ave,0
39.749706,,-105.21452,,14626,Vehicles Travelling South,Jackson St & 19th St,0
39.640764,,-105.030021,,14620,Vehicles Travelling South,S Irving St & W Oxford Ave,0
39.640767,,-105.02992,,14621,Vehicles Travelling North,S Irving St & W Oxford Ave,0
39.703398,,-105.029872,,14622,Vehicles Travelling South,S Irving St & W Walsh Pl,0
39.787187,,-104.920004,,14623,Vehicles Travelling South,Ivy St & 50th Ave,0
39.747594,,-105.212543,,14629,Vehicles Travelling Southwest,Jackson St & 22nd St,0
39.68203,,-105.117192,,14680,Vehicles Travelling East,W Jewell Ave & S Oak St,0
39.682196,,-105.118349,,14681,Vehicles Travelling West,W Jewell Ave & S Oak St,0
39.750804,,-104.940523,,13058,Vehicles Travelling North,Colorado Blvd & 23rd Ave,0
39.754909,,-104.940463,,13059,Vehicles Travelling North,Colorado Blvd & 26th Ave,0
39.741714,,-104.94081,,13052,Vehicles Travelling South,Colorado Blvd & 16th Ave,0
39.744314,,-104.940581,,13053,Vehicles Travelling North,Colorado Blvd & 17th Ave,0
39.737757,,-104.94053,,13050,Vehicles Travelling North,Colorado Blvd & 14th Ave,0
39.736956,,-104.940809,,13051,Vehicles Travelling South,Colorado Blvd & 13th Ave,0
39.717358,,-104.940846,,13056,Vehicles Travelling South,Colorado Blvd & 1st Ave,0
